operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value,date_str,date_parsed,time_period,year,half_year,fractional_year
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),0.39,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),6.1086,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,7,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),2.51,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),0,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),0.61,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),5.0841,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,7,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),1.61,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),0,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),0.52,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),7.0408,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,11,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),2.8,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),0,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),0.52,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Water (ML),10.9951,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,10,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
